Average of Science..,Column Labels,,,,,,
Row Labels,12 years,13 years,14 years,15 years,16+ years,(blank),Grand Total
Degree & above,46.75285714,44.80514286,42.67694444,29.09,32.73,38.182,43.51987179
Illiterate,29.87,33.75896825,35.31947791,33.41333333,33.11678571,36.75030303,34.46975
Primary,34.12166667,37.61755495,36.7002669,35.16276786,32.364,34.87545455,36.58587611
Secondary,33.59380952,38.16440191,36.73885906,32.8728,30.96,34.3190625,36.56868464
Sr secondary,40.11375,39.0465035,39.05027778,38.61571429,31.51333333,38.78888889,38.94301333
(blank),21.13625,35.80014085,33.95627586,29.94916667,30.50611111,28.31214286,33.07606164
Grand Total,33.46536232,37.49210167,36.59837311,33.73130208,31.8396124,34.90965217,36.31714044
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,# 1         84    11,,
,,,,,# 2         54    10,,
,,,,,# 3       142    10,,
,,,,,# 4         27     8,,
,,,,,# 5       131     8,,
