"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","37.0","17","58","2","1.56","3","1","v England","Nagpur","13 Dec 2012"
"2","33.0","17","59","1","1.78","5","3","v England","Nagpur","13 Dec 2012"
"3","36.0","10","71","2","1.97","5","1","v Australia","Chennai","22 Feb 2013"
"4","31.0","8","72","3","2.32","3","3","v Australia","Chennai","22 Feb 2013"
"5","16.0","4","33","3","2.06","5","1","v Australia","Hyderabad (Deccan)","2 Mar 2013"
"6","18.0","8","33","3","1.83","4","3","v Australia","Hyderabad (Deccan)","2 Mar 2013"
"7","31.0","7","77","3","2.48","5","1","v Australia","Mohali","14 Mar 2013"
"8","16.2","6","35","3","2.14","4","3","v Australia","Mohali","14 Mar 2013"
"9","29.0","8","40","2","1.37","5","1","v Australia","Delhi","22 Mar 2013"
"10","16.0","2","58","5","3.62","3","3","v Australia","Delhi","22 Mar 2013"
"11","58.2","15","138","6","2.36","4","2","v South Africa","Durban","26 Dec 2013"
"12","4.0","0","16","0","4.00","3","4","v South Africa","Durban","26 Dec 2013"
"13","26.0","1","120","1","4.61","4","1","v New Zealand","Auckland","6 Feb 2014"
"14","9.0","4","10","1","1.11","4","3","v New Zealand","Auckland","6 Feb 2014"
"15","2.0","1","12","0","6.00","4","1","v New Zealand","Wellington","14 Feb 2014"
"16","52.0","11","115","1","2.21","4","3","v New Zealand","Wellington","14 Feb 2014"
"17","35.0","5","80","0","2.28","4","2","v England","Nottingham","9 Jul 2014"
"18","18.5","1","46","2","2.44","5","2","v England","Lord's","17 Jul 2014"
"19","32.2","7","53","1","1.63","4","4","v England","Lord's","17 Jul 2014"
"20","45.4","10","153","2","3.35","5","1","v England","Southampton","27 Jul 2014"
"21","10.4","1","52","3","4.87","5","3","v England","Southampton","27 Jul 2014"
"22","13.3","1","36","1","2.66","5","2","v England","Manchester","7 Aug 2014"
"23","18.0","0","55","3","3.05","4","2","v South Africa","Mohali","5 Nov 2015"
"24","11.5","4","21","5","1.77","2","4","v South Africa","Mohali","5 Nov 2015"
"25","16.0","2","50","4","3.12","5","1","v South Africa","Bengaluru","14 Nov 2015"
"26","12.0","3","33","4","2.75","3","2","v South Africa","Nagpur","25 Nov 2015"
"27","25.0","12","34","0","1.36","3","4","v South Africa","Nagpur","25 Nov 2015"
"28","12.0","2","30","5","2.50","4","2","v South Africa","Delhi","3 Dec 2015"
"29","46.0","33","26","2","0.56","3","4","v South Africa","Delhi","3 Dec 2015"
"30","24.0","9","27","1","1.12","5","2","v West Indies","Gros Islet","9 Aug 2016"
"31","5.3","1","20","2","3.63","5","4","v West Indies","Gros Islet","9 Aug 2016"
"32","34.0","7","73","5","2.14","3","2","v New Zealand","Kanpur","22 Sep 2016"
"33","34.0","17","58","1","1.70","3","4","v New Zealand","Kanpur","22 Sep 2016"
"34","12.0","4","40","1","3.33","3","2","v New Zealand","Kolkata","30 Sep 2016"
"35","20.0","3","41","3","2.05","4","4","v New Zealand","Kolkata","30 Sep 2016"
"36","28.0","5","80","2","2.85","4","2","v New Zealand","Indore","8 Oct 2016"
"37","16.0","3","45","2","2.81","4","4","v New Zealand","Indore","8 Oct 2016"
"38","30.0","4","86","3","2.86","4","1","v England","Rajkot","9 Nov 2016"
"39","15.0","1","47","0","3.13","2","3","v England","Rajkot","9 Nov 2016"
"40","29.0","10","57","1","1.96","3","2","v England","Visakhapatnam","17 Nov 2016"
"41","34.0","14","35","2","1.02","4","4","v England","Visakhapatnam","17 Nov 2016"
"42","23.0","4","59","2","2.56","5","1","v England","Mohali","26 Nov 2016"
"43","30.0","12","62","2","2.06","4","3","v England","Mohali","26 Nov 2016"
"44","37.1","5","109","4","2.93","5","1","v England","Mumbai","8 Dec 2016"
"45","22.0","3","63","2","2.86","3","3","v England","Mumbai","8 Dec 2016"
"46","45.0","9","106","3","2.35","3","1","v England","Chennai","16 Dec 2016"
"47","25.0","5","48","7","1.92","3","3","v England","Chennai","16 Dec 2016"
"48","33.0","8","70","2","2.12","5","2","v Bangladesh","Hyderabad (Deccan)","9 Feb 2017"
"49","37.0","15","78","4","2.10","5","4","v Bangladesh","Hyderabad (Deccan)","9 Feb 2017"
"50","24.0","4","74","2","3.08","4","1","v Australia","Pune","23 Feb 2017"
"51","33.0","10","65","3","1.96","2","3","v Australia","Pune","23 Feb 2017"
"52","21.4","1","63","6","2.90","4","2","v Australia","Bengaluru","4 Mar 2017"
"53","8.0","5","3","1","0.37","4","4","v Australia","Bengaluru","4 Mar 2017"
"54","49.3","8","124","5","2.50","4","1","v Australia","Ranchi","16 Mar 2017"
"55","44.0","18","54","4","1.22","2","3","v Australia","Ranchi","16 Mar 2017"
"56","15.0","1","57","1","3.80","4","1","v Australia","Dharamsala","25 Mar 2017"
"57","18.0","7","24","3","1.33","4","3","v Australia","Dharamsala","25 Mar 2017"
