"","Decile","AttritionCount","CumulativeAttrition","GainPercent","NonAttritionCount","CumulativeNonAttrition","GainPercentNonAttrition","KS_stat","GainRandomModel","lift"
"1",1,72,72,35.1219512195122,60.1,60.1,5.38530465949821,29.736646560014,10,3.51219512195122
"2",2,36,108,52.6829268292683,96.1,156.2,13.9964157706093,38.686511058659,20,2.63414634146341
"3",3,32,140,68.2926829268293,100.1,256.3,22.9659498207885,45.3267331060407,30,2.27642276422764
"4",4,22,162,79.0243902439024,110.1,366.4,32.831541218638,46.1928490252645,40,1.97560975609756
"5",5,7,169,82.4390243902439,125.1,491.5,44.0412186379928,38.3978057522511,50,1.64878048780488
"6",6,10,179,87.3170731707317,122.1,613.6,54.9820788530466,32.3349943176851,60,1.45528455284553
"7",7,10,189,92.1951219512195,122.1,735.7,65.9229390681004,26.2721828831192,70,1.31707317073171
"8",8,8,197,96.0975609756098,124.1,859.8,77.0430107526882,19.0545502229216,80,1.20121951219512
"9",9,5,202,98.5365853658537,127.1,986.9,88.4318996415771,10.1046857242766,90,1.09485094850949
"10",10,3,205,100,129.1,1116,100,0,100,1
